sample,fastq_1,fastq_2,breed,sample_name,treatment
SRX18040004,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040004_SRR22059187_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040004_SRR22059187_2.fastq.gz,ABC_VIMS_Family_2017084,A-15,Control
SRX18040031,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040031_SRR22059162_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040031_SRR22059162_2.fastq.gz,ABC_VIMS_Family_2017084,A-36,Control
SRX18040063,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040063_SRR22059128_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040063_SRR22059128_2.fastq.gz,ABC_VIMS_Family_2017084,A-23,Control
SRX18040010,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040010_SRR22059182_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040010_SRR22059182_2.fastq.gz,ABC_VIMS_Family_2017089,B-20,Control
SRX18040019,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040019_SRR22059173_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040019_SRR22059173_2.fastq.gz,ABC_VIMS_Family_2017089,B-33,Control
SRX18040042,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040042_SRR22059148_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040042_SRR22059148_2.fastq.gz,ABC_VIMS_Family_2017089,B-14,Control
SRX18040049,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040049_SRR22059141_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040049_SRR22059141_2.fastq.gz,ABC_VIMS_Family_2017090,C-38,Control
SRX18040051,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040051_SRR22059140_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040051_SRR22059140_2.fastq.gz,ABC_VIMS_Family_2017090,C-12,Control
SRX18040057,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040057_SRR22059133_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040057_SRR22059133_2.fastq.gz,ABC_VIMS_Family_2017090,C-23,Control
SRX18040015,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040015_SRR22059177_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040015_SRR22059177_2.fastq.gz,ABC_VIMS_Family_2017120,I-17,Control
SRX18040023,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040023_SRR22059169_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040023_SRR22059169_2.fastq.gz,ABC_VIMS_Family_2017120,I-26,Control
SRX18040053,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040053_SRR22059138_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040053_SRR22059138_2.fastq.gz,ABC_VIMS_Family_2017120,I-39,Control
SRX18040005,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_2.fastq.gz,ABC_VIMS_Family_2017084,A-136,Dose_1-10-6
SRX18040032,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_2.fastq.gz,ABC_VIMS_Family_2017084,A-128,Dose_1-10-6
SRX18040040,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_2.fastq.gz,ABC_VIMS_Family_2017084,A-132,Dose_1-10-6
SRX18040064,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040064_SRR22059127_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040064_SRR22059127_2.fastq.gz,ABC_VIMS_Family_2017084,A-125,Dose_1-10-6
SRX18040011,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_2.fastq.gz,ABC_VIMS_Family_2017089,B-94,Dose_1-10-6
SRX18040020,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040020_SRR22059172_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040020_SRR22059172_2.fastq.gz,ABC_VIMS_Family_2017089,B-113,Dose_1-10-6
SRX18040048,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040048_SRR22059142_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040048_SRR22059142_2.fastq.gz,ABC_VIMS_Family_2017089,B-118,Dose_1-10-6
SRX18040056,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040056_SRR22059134_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040056_SRR22059134_2.fastq.gz,ABC_VIMS_Family_2017089,B-133,Dose_1-10-6
SRX18040028,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040028_SRR22059161_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040028_SRR22059161_2.fastq.gz,ABC_VIMS_Family_2017090,C-127,Dose_1-10-6
SRX18040035,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_2.fastq.gz,ABC_VIMS_Family_2017090,C-130,Dose_1-10-6
SRX18040044,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_2.fastq.gz,ABC_VIMS_Family_2017090,C-121,Dose_1-10-6
SRX18040060,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040060_SRR22059131_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040060_SRR22059131_2.fastq.gz,ABC_VIMS_Family_2017090,C-104,Dose_1-10-6
SRX18040029,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040029_SRR22059160_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040029_SRR22059160_2.fastq.gz,ABC_VIMS_Family_2017120,I-120,Dose_1-10-6
SRX18040038,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_2.fastq.gz,ABC_VIMS_Family_2017120,I-131,Dose_1-10-6
SRX18040046,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_2.fastq.gz,ABC_VIMS_Family_2017120,I-135,Dose_1-10-6
SRX18040062,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040062_SRR22059129_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040062_SRR22059129_2.fastq.gz,ABC_VIMS_Family_2017120,I-102,Dose_1-10-6
SRX18040008,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_2.fastq.gz,ABC_VIMS_Family_2017084,A-142,Dose_1-10-7
SRX18040026,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040026_SRR22059164_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040026_SRR22059164_2.fastq.gz,ABC_VIMS_Family_2017084,A-163,Dose_1-10-7
SRX18040036,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_2.fastq.gz,ABC_VIMS_Family_2017084,A-158,Dose_1-10-7
SRX18040041,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_2.fastq.gz,ABC_VIMS_Family_2017084,A-152,Dose_1-10-7
SRX18040006,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_2.fastq.gz,ABC_VIMS_Family_2017089,B-176,Dose_1-10-7
SRX18040012,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_2.fastq.gz,ABC_VIMS_Family_2017089,B-188,Dose_1-10-7
SRX18040033,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_2.fastq.gz,ABC_VIMS_Family_2017089,B-183,Dose_1-10-7
SRX18040047,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_2.fastq.gz,ABC_VIMS_Family_2017089,B-171,Dose_1-10-7
SRX18040050,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040050_SRR22059166_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040050_SRR22059166_2.fastq.gz,ABC_VIMS_Family_2017089,B-146,Dose_1-10-7
SRX18040013,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_2.fastq.gz,ABC_VIMS_Family_2017090,C-162,Dose_1-10-7
SRX18040021,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_2.fastq.gz,ABC_VIMS_Family_2017090,C-174,Dose_1-10-7
SRX18040037,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_2.fastq.gz,ABC_VIMS_Family_2017090,C-143,Dose_1-10-7
SRX18040045,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_2.fastq.gz,ABC_VIMS_Family_2017090,C-158,Dose_1-10-7
SRX18040007,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_2.fastq.gz,ABC_VIMS_Family_2017120,I-190,Dose_1-10-7
SRX18040030,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_2.fastq.gz,ABC_VIMS_Family_2017120,I-158,Dose_1-10-7
SRX18040039,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_2.fastq.gz,ABC_VIMS_Family_2017120,I-143,Dose_1-10-7
SRX18040059,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_2.fastq.gz,ABC_VIMS_Family_2017120,I-148,Dose_1-10-7
SRX18040009,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_2.fastq.gz,ABC_VIMS_Family_2017084,A-192,Dose_1-10-8
SRX18040018,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_2.fastq.gz,ABC_VIMS_Family_2017084,A-214,Dose_1-10-8
SRX18040025,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_2.fastq.gz,ABC_VIMS_Family_2017084,A-221,Dose_1-10-8
SRX18040055,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_2.fastq.gz,ABC_VIMS_Family_2017084,A-240,Dose_1-10-8
SRX18040017,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_2.fastq.gz,ABC_VIMS_Family_2017089,B-239,Dose_1-10-8
SRX18040027,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_2.fastq.gz,ABC_VIMS_Family_2017089,B-197,Dose_1-10-8
SRX18040034,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_2.fastq.gz,ABC_VIMS_Family_2017089,B-216,Dose_1-10-8
SRX18040043,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_2.fastq.gz,ABC_VIMS_Family_2017089,B-228,Dose_1-10-8
SRX18040014,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_2.fastq.gz,ABC_VIMS_Family_2017090,C-214,Dose_1-10-8
SRX18040022,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_2.fastq.gz,ABC_VIMS_Family_2017090,C-208,Dose_1-10-8
SRX18040052,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_2.fastq.gz,ABC_VIMS_Family_2017090,C-210,Dose_1-10-8
SRX18040058,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_2.fastq.gz,ABC_VIMS_Family_2017090,C-228,Dose_1-10-8
SRX18040016,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_2.fastq.gz,ABC_VIMS_Family_2017120,I-205,Dose_1-10-8
SRX18040024,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_2.fastq.gz,ABC_VIMS_Family_2017120,I-230,Dose_1-10-8
SRX18040054,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_2.fastq.gz,ABC_VIMS_Family_2017120,I-234,Dose_1-10-8
SRX18040061,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_2.fastq.gz,ABC_VIMS_Family_2017120,I-237,Dose_1-10-8
